Department,CourseNumber,CourseDivision,CourseName,Instructor,CourseDescription,ActiveFlag,Semester,Year,Term,Level,Prerequisites,Lab_Fee_Text,Lab_Fee,Class_Size_Text,Degree_Requirements,Lab_Fee_USD,Class_Size
AD,1011,ADS,Introduction to Arts and Design,"Mancinelli, Isabel","This course is the fundamental course for students pursuing studies in Arts and Design, offering insights into a range of issues addressed in the arts and design curriculum. This course includes studio, field, historical, and theoretical components.  Students learn how basic design principals are applied in garden design, historic architectural styles, and planning. They also examine the history and application of perspective drawing and color theory. Students are expected to observe, document, analyze, and make recommendations for improvement of the designed world. Studio work involves both individual and team efforts which are presented for class critique. Learning to give constructive critique is an essential skill and an integral part of many arts and design courses. The last two weeks are dedicated to final projects where students delve deeper into any aspect of the course. Students are expected to complete each project, read assigned books and excerpts, and participate in class discussions and critiques. All work is submitted at the end of term and evaluations are based on attendance, participation, and submitted work. 

Level:  Introductory.  Prerequisites: None.  Class limit: 25.  Lab fee $30.  Meets the following degree requirements: ADS",TRUE,B18Q,2018,Q,NA,Prerequisites: None,"This course is the fundamental course for students pursuing studies in Arts and Design, offering insights into a range of issues addressed in the arts and design curriculum",TRUE,: 25,ADS,NA,25
AD,1011,ADS,Introduction to Arts and Design,"Mancinelli, Isabel","This course is the fundamental course for students pursuing studies in Arts and Design, offering insights into a range of issues addressed in the arts and design curriculum. This course includes studio, field, historical, and theoretical components.  Students learn how basic design principals are applied in garden design, historic architectural styles, and planning. They also examine the history and application of perspective drawing and color theory. Students are expected to observe, document, analyze, and make recommendations for improvement of the designed world. Studio work involves both individual and team efforts which are presented for class critique. Learning to give constructive critique is an essential skill and an integral part of many arts and design courses. The last two weeks are dedicated to final projects where students delve deeper into any aspect of the course. Students are expected to complete each project, read assigned books and excerpts, and participate in class discussions and critiques. All work is submitted at the end of term and evaluations are based on attendance, participation, and submitted work. 

Level:  Introductory.  Prerequisites: None.  Class limit: 25.  Lab fee $30.  Meets the following degree requirements: ADS",TRUE,B19Q,2019,Q,NA,Prerequisites: None,"This course is the fundamental course for students pursuing studies in Arts and Design, offering insights into a range of issues addressed in the arts and design curriculum",TRUE,: 25,ADS,NA,25
AD,1011,ADS,Introduction to Arts and Design,"Mancinelli, Isabel","This course is the fundamental course for students pursuing studies in Arts and Design, offering insights into a range of issues addressed in the arts and design curriculum. This course includes studio, field, historical, and theoretical components.  Students learn how basic design principals are applied in garden design, historic architectural styles, and planning. They also examine the history and application of perspective drawing and color theory. Students are expected to observe, document, analyze, and make recommendations for improvement of the designed world. Studio work involves both individual and team efforts which are presented for class critique. Learning to give constructive critique is an essential skill and an integral part of many arts and design courses. The last two weeks are dedicated to final projects where students delve deeper into any aspect of the course. Students are expected to complete each project, read assigned books and excerpts, and participate in class discussions and critiques. All work is submitted at the end of term and evaluations are based on attendance, participation, and submitted work. 

Level:  Introductory.  Prerequisites: None.  Class limit: 25.  Lab fee $30.  Meets the following degree requirements: ADS",TRUE,B20Q,2020,Q,NA,Prerequisites: None,"This course is the fundamental course for students pursuing studies in Arts and Design, offering insights into a range of issues addressed in the arts and design curriculum",TRUE,: 25,ADS,NA,25
AD,1012,ADS,Introduction to Keyboard/Piano,"Cooper, John","This is a learn-the-basics course in which the essentials of keyboard harmony are introduced in order for the student to be able to play functional piano.  Areas of study include basic chords (major, minor, diminished, and augmented and their inversions), 7th chords, basic fingering and scale patterns, finger dexterity, rhythm drills, aural perception, and reading lead sheets/sheet music.  This is a practical, hands-on course for those interested in playing not only piano, but also organ and synthesizers.  Introduction to MIDI is also included.  Keyboard II is a continuation of practical technique leading to keyboard fluency. 

Level: Introductory.  Prerequisites: none.  Class limit: 15.  Lab fee: $20.  Meets the following degree requirements: ADS",TRUE,B20C,2020,C,Level: Introductory,Prerequisites: none,This is a learn-the-basics course in which the essentials of keyboard harmony are introduced in order for the student to be able to play functional piano,TRUE,: 15,ADS,NA,15
AD,1012,ADS,Introduction to Keyboard/Piano,"Cooper, John","This is a learn-the-basics course in which the essentials of keyboard harmony are introduced in order for the student to be able to play functional piano.  Areas of study include basic chords (major, minor, diminished, and augmented and their inversions), 7th chords, basic fingering and scale patterns, finger dexterity, rhythm drills, aural perception, and reading lead sheets/sheet music.  This is a practical, hands-on course for those interested in playing not only piano, but also organ and synthesizers.  Introduction to MIDI is also included.  Keyboard II is a continuation of practical technique leading to keyboard fluency. 

Level: Introductory.  Prerequisites: none.  Class limit: 15.  Lab fee: $20.  Meets the following degree requirements: ADS",TRUE,B19B,2019,B,Level: Introductory,Prerequisites: none,This is a learn-the-basics course in which the essentials of keyboard harmony are introduced in order for the student to be able to play functional piano,TRUE,: 15,ADS,NA,15
AD,1012,ADS,Introduction to Keyboard/Piano,"Cooper, John","This is a learn-the-basics course in which the essentials of keyboard harmony are introduced in order for the student to be able to play functional piano.  Areas of study include basic chords (major, minor, diminished, and augmented and their inversions), 7th chords, basic fingering and scale patterns, finger dexterity, rhythm drills, aural perception, and reading lead sheets/sheet music.  This is a practical, hands-on course for those interested in playing not only piano, but also organ and synthesizers.  Introduction to MIDI is also included.  Keyboard II is a continuation of practical technique leading to keyboard fluency. 

Level: Introductory.  Prerequisites: none.  Class limit: 15.  Lab fee: $20.  Meets the following degree requirements: ADS",TRUE,B18C,2018,C,Level: Introductory,Prerequisites: none,This is a learn-the-basics course in which the essentials of keyboard harmony are introduced in order for the student to be able to play functional piano,TRUE,: 15,ADS,NA,15
AD,1013,AD HY,"Jazz, Rock, and Blues:  From Their Origins to the Present","Cooper, John","This course is a survey of the particular styles of music that have had such a profound effect on America, as well as the world in the twentieth century.  Students inquire of the social, cultural, and aesthetic elements that led to the creation of each style.  The use of recorded examples provides a chronological examination of the principal musicians and composers as well as an analysis of the more influential soloists and groups.  The course includes technical background into the various common musical ""bonds of union"" between Jazz, Rock, and Blues, as well as discussion concerning the permeation of these characteristics into secular and non-secular music of the 1900s.  There is considerable study of the social significance of the music, exploration of the broad cultural and artistic aspects of the music, how these styles changed and evolved, and how their growth related to parallel changes in fine art music.  

Level: Introductory.  Class is open to all students, regardless of musical experience. Lab fee: $10.  Meets the following degree requirements: HY, AD",TRUE,B18C,2018,C,Level: Introductory,NA,"This course is a survey of the particular styles of music that have had such a profound effect on America, as well as the world in the twentieth century",TRUE,NA,"HY, AD",NA,NA
AD,1013,AD HY,"Jazz, Rock, and Blues:  From Their Origins to the Present","Cooper, John","This course is a survey of the particular styles of music that have had such a profound effect on America, as well as the world in the twentieth century.  Students inquire of the social, cultural, and aesthetic elements that led to the creation of each style.  The use of recorded examples provides a chronological examination of the principal musicians and composers as well as an analysis of the more influential soloists and groups.  The course includes technical background into the various common musical ""bonds of union"" between Jazz, Rock, and Blues, as well as discussion concerning the permeation of these characteristics into secular and non-secular music of the 1900s.  There is considerable study of the social significance of the music, exploration of the broad cultural and artistic aspects of the music, how these styles changed and evolved, and how their growth related to parallel changes in fine art music.  

Level: Introductory.  Class is open to all students, regardless of musical experience. Lab fee: $10.  Meets the following degree requirements: HY, AD",TRUE,B19B,2019,B,Level: Introductory,NA,"This course is a survey of the particular styles of music that have had such a profound effect on America, as well as the world in the twentieth century",TRUE,NA,"HY, AD",NA,NA
AD,1013,AD HY,"Jazz, Rock, and Blues:  From Their Origins to the Present","Cooper, John","This course is a survey of the particular styles of music that have had such a profound effect on America, as well as the world in the twentieth century.  Students inquire of the social, cultural, and aesthetic elements that led to the creation of each style.  The use of recorded examples provides a chronological examination of the principal musicians and composers as well as an analysis of the more influential soloists and groups.  The course includes technical background into the various common musical ""bonds of union"" between Jazz, Rock, and Blues, as well as discussion concerning the permeation of these characteristics into secular and non-secular music of the 1900s.  There is considerable study of the social significance of the music, exploration of the broad cultural and artistic aspects of the music, how these styles changed and evolved, and how their growth related to parallel changes in fine art music.  

Level: Introductory.  Class is open to all students, regardless of musical experience. Lab fee: $10.  Meets the following degree requirements: HY, AD",TRUE,B20C,2020,C,Level: Introductory,NA,"This course is a survey of the particular styles of music that have had such a profound effect on America, as well as the world in the twentieth century",TRUE,NA,"HY, AD",NA,NA
AD,1013,AD HY,"Jazz, Rock, and Blues:  From Their Origins to the Present","Cooper, John","This course is a survey of the particular styles of music that have had such a profound effect on America, as well as the world in the twentieth century.  Students inquire of the social, cultural, and aesthetic elements that led to the creation of each style.  The use of recorded examples provides a chronological examination of the principal musicians and composers as well as an analysis of the more influential soloists and groups.  The course includes technical background into the various common musical ""bonds of union"" between Jazz, Rock, and Blues, as well as discussion concerning the permeation of these characteristics into secular and non-secular music of the 1900s.  There is considerable study of the social significance of the music, exploration of the broad cultural and artistic aspects of the music, how these styles changed and evolved, and how their growth related to parallel changes in fine art music.  

Level: Introductory.  Class is open to all students, regardless of musical experience. Lab fee: $10.  Meets the following degree requirements: HY, AD",TRUE,B21B,2021,B,Level: Introductory,NA,"This course is a survey of the particular styles of music that have had such a profound effect on America, as well as the world in the twentieth century",TRUE,NA,"HY, AD",NA,NA
AD,1014,ADS,Music Fundamentals: Intro to Reading/Hearing/Writing/Playing,"Cooper, John","This hands-on course deals with the aural, mental, and physical elements of music and its production.  It is divided into instructional segments including:  Ear Training and Aural Perception, Music Theory, Basic Keyboard Skills, Arranging and Composition, and Basic Guitar Skills.  [Detailed descriptions of segments available in Registrar's office.]  This course is open to all students, regardless of musical experience.  The sole prerequisite is a desire to make music or simply to enrich one's skills as a critical listener of music.  Efforts are made to accommodate the special needs of the musical novice, as well as to challenge the experienced performer.  Emphasis is on popular song styles, but analysis of Western Art Music forms are included for comparison purposes.

Level:  Introductory.  Prerequisites: none.  Class limit: 20.  Lab fee $20.  Meets the following degree requirements: ADS",TRUE,B20Q,2020,Q,NA,Prerequisites: none,"This hands-on course deals with the aural, mental, and physical elements of music and its production",TRUE,: 20,ADS,NA,20
AD,1014,ADS,Music Fundamentals: Intro to Reading/Hearing/Writing/Playing,"Cooper, John","This hands-on course deals with the aural, mental, and physical elements of music and its production.  It is divided into instructional segments including:  Ear Training and Aural Perception, Music Theory, Basic Keyboard Skills, Arranging and Composition, and Basic Guitar Skills.  [Detailed descriptions of segments available in Registrar's office.]  This course is open to all students, regardless of musical experience.  The sole prerequisite is a desire to make music or simply to enrich one's skills as a critical listener of music.  Efforts are made to accommodate the special needs of the musical novice, as well as to challenge the experienced performer.  Emphasis is on popular song styles, but analysis of Western Art Music forms are included for comparison purposes.

Level:  Introductory.  Prerequisites: none.  Class limit: 20.  Lab fee $20.  Meets the following degree requirements: ADS",TRUE,B18Q,2018,Q,NA,Prerequisites: none,"This hands-on course deals with the aural, mental, and physical elements of music and its production",TRUE,: 20,ADS,NA,20
AD,1014,ADS,Music Fundamentals: Intro to Reading/Hearing/Writing/Playing,"Cooper, John","This hands-on course deals with the aural, mental, and physical elements of music and its production.  It is divided into instructional segments including:  Ear Training and Aural Perception, Music Theory, Basic Keyboard Skills, Arranging and Composition, and Basic Guitar Skills.  [Detailed descriptions of segments available in Registrar's office.]  This course is open to all students, regardless of musical experience.  The sole prerequisite is a desire to make music or simply to enrich one's skills as a critical listener of music.  Efforts are made to accommodate the special needs of the musical novice, as well as to challenge the experienced performer.  Emphasis is on popular song styles, but analysis of Western Art Music forms are included for comparison purposes.

Level:  Introductory.  Prerequisites: none.  Class limit: 20.  Lab fee $20.  Meets the following degree requirements: ADS",TRUE,B19Q,2019,Q,NA,Prerequisites: none,"This hands-on course deals with the aural, mental, and physical elements of music and its production",TRUE,: 20,ADS,NA,20
AD,1018,ADS,Introduction to Guitar,"Cooper, John","This course is a fundamental study in guitar chord construction, note reading, chord symbol identification, fingerboard facility, theory as related to guitar, chord inversions, and scale and mode work.  Students are expected to attain introductory improvisational skills and basic facility in practical guitar performance.

Level: Introductory. Students must provide own instruments (acoustic or electric). Class limit: 20.  Lab fee: $10.  Meets the following degree requirements: ADS",TRUE,B19Q,2019,Q,Level: Introductory,NA,"This course is a fundamental study in guitar chord construction, note reading, chord symbol identification, fingerboard facility, theory as related to guitar, chord inversions, and scale and mode work",TRUE,: 20,ADS,NA,20
AD,1018,ADS,Introduction to Guitar,"Cooper, John","This course is a fundamental study in guitar chord construction, note reading, chord symbol identification, fingerboard facility, theory as related to guitar, chord inversions, and scale and mode work.  Students are expected to attain introductory improvisational skills and basic facility in practical guitar performance.

Level: Introductory. Students must provide own instruments (acoustic or electric). Class limit: 20.  Lab fee: $10.  Meets the following degree requirements: ADS",TRUE,B18Q,2018,Q,Level: Introductory,NA,"This course is a fundamental study in guitar chord construction, note reading, chord symbol identification, fingerboard facility, theory as related to guitar, chord inversions, and scale and mode work",TRUE,: 20,ADS,NA,20
AD,1018,ADS,Introduction to Guitar,"Cooper, John","This course is a fundamental study in guitar chord construction, note reading, chord symbol identification, fingerboard facility, theory as related to guitar, chord inversions, and scale and mode work.  Students are expected to attain introductory improvisational skills and basic facility in practical guitar performance.

Level: Introductory. Students must provide own instruments (acoustic or electric). Class limit: 20.  Lab fee: $10.  Meets the following degree requirements: ADS",TRUE,B20Q,2020,Q,Level: Introductory,NA,"This course is a fundamental study in guitar chord construction, note reading, chord symbol identification, fingerboard facility, theory as related to guitar, chord inversions, and scale and mode work",TRUE,: 20,ADS,NA,20
AD,1018,ADS,Introduction to Guitar,"Cooper, John","This course is a fundamental study in guitar chord construction, note reading, chord symbol identification, fingerboard facility, theory as related to guitar, chord inversions, and scale and mode work.  Students are expected to attain introductory improvisational skills and basic facility in practical guitar performance.

Level: Introductory. Students must provide own instruments (acoustic or electric). Class limit: 20.  Lab fee: $10.  Meets the following degree requirements: ADS",TRUE,B20Q,2020,Q,Level: Introductory,NA,"This course is a fundamental study in guitar chord construction, note reading, chord symbol identification, fingerboard facility, theory as related to guitar, chord inversions, and scale and mode work",TRUE,: 20,ADS,NA,20
